,date,value,period,onediffvalue
1589,Feb 12 2018,14402.731596263542,2018-02-12,849.4120687410195
1588,Feb 11 2018,18008.396867525807,2018-02-11,3605.6652712622654
1587,Feb 10 2018,17343.139926939275,2018-02-10,-665.2569405865324
1586,Feb 09 2018,14422.463267172918,2018-02-09,-2920.6766597663573
1585,Feb 08 2018,13816.659440112566,2018-02-08,-605.803827060352
1584,Feb 07 2018,13674.709125532538,2018-02-07,-141.95031458002813
1583,Feb 06 2018,13959.167969076048,2018-02-06,284.45884354351074
1582,Feb 05 2018,13404.458207541975,2018-02-05,-554.7097615340736
1581,Feb 04 2018,16696.159569029027,2018-02-04,3291.701361487052
1580,Feb 03 2018,18907.40704836706,2018-02-03,2211.2474793380316
1579,Feb 02 2018,14510.709463394654,2018-02-02,-4396.697584972404
1578,Feb 01 2018,13688.882183461828,2018-02-01,-821.8272799328261
1577,Jan 31 2018,13666.258701765175,2018-01-31,-22.62348169665347
1576,Jan 30 2018,14140.043425414528,2018-01-30,473.7847236493526
1575,Jan 29 2018,14812.44750685337,2018-01-29,672.4040814388427
1574,Jan 28 2018,18568.207405668407,2018-01-28,3755.7598988150366
1573,Jan 27 2018,18061.892194457705,2018-01-27,-506.3152112107018
1572,Jan 26 2018,14630.271076375428,2018-01-26,-3431.6211180822775
1571,Jan 25 2018,14210.526996229673,2018-01-25,-419.7440801457542
1570,Jan 24 2018,14093.095014229246,2018-01-24,-117.43198200042752
1569,Jan 23 2018,13935.192146421881,2018-01-23,-157.9028678073646
1568,Jan 22 2018,14227.439643685228,2018-01-22,292.2474972633463
1567,Jan 21 2018,17450.303858823074,2018-01-21,3222.8642151378463
1566,Jan 20 2018,17884.248404019127,2018-01-20,433.9445451960528
1565,Jan 19 2018,14005.655999803525,2018-01-19,-3878.592404215602
1564,Jan 18 2018,14305.679549962237,2018-01-18,300.02355015871217
1563,Jan 17 2018,13686.785551843204,2018-01-17,-618.8939981190324
1562,Jan 16 2018,14146.441126122827,2018-01-16,459.65557427962267
1561,Jan 15 2018,17023.139652419664,2018-01-15,2876.6985262968374
1560,Jan 14 2018,18625.409725792033,2018-01-14,1602.2700733723686
1559,Jan 13 2018,18334.919206050006,2018-01-13,-290.49051974202666
1558,Jan 12 2018,14653.354820164988,2018-01-12,-3681.564385885018
1557,Jan 11 2018,14293.645152623967,2018-01-11,-359.7096675410212
1556,Jan 10 2018,14166.063705182889,2018-01-10,-127.58144744107813
1555,Jan 09 2018,13960.623152647091,2018-01-09,-205.4405525357979
1554,Jan 08 2018,15230.356711349117,2018-01-08,1269.7335587020261
1553,Jan 07 2018,19524.775487519877,2018-01-07,4294.41877617076
1552,Jan 06 2018,20395.05295026694,2018-01-06,870.2774627470644
1551,Jan 05 2018,16411.35104304455,2018-01-05,-3983.701907222392
1550,Jan 04 2018,16233.441481531034,2018-01-04,-177.90956151351565
1549,Jan 03 2018,17116.126447535225,2018-01-03,882.6849660041917
1548,Jan 02 2018,17653.16709083266,2018-01-02,537.0406432974341
1547,Jan 01 2018,24298.320807120992,2018-01-01,6645.153716288332
1546,Dec 31 2017,20724.509370860673,2017-12-31,-3573.811436260319
1545,Dec 30 2017,20765.92452636795,2017-12-30,41.41515550727854
1544,Dec 29 2017,18708.0076322658,2017-12-29,-2057.9168941021526
1543,Dec 28 2017,18637.21754061986,2017-12-28,-70.79009164594027
1542,Dec 27 2017,18988.060223494085,2017-12-27,350.84268287422674
1541,Dec 26 2017,19798.93656491213,2017-12-26,810.876341418043
1540,Dec 25 2017,14391.037251063364,2017-12-25,-5407.899313848764
1539,Dec 24 2017,19034.30767548387,2017-12-24,4643.270424420505
1538,Dec 23 2017,18434.491014559222,2017-12-23,-599.8166609246473
1537,Dec 22 2017,16623.38790435385,2017-12-22,-1811.1031102053712
1536,Dec 21 2017,15910.986157549796,2017-12-21,-712.4017468040547
1535,Dec 20 2017,15386.914078351181,2017-12-20,-524.072079198615
1534,Dec 19 2017,15891.452782159931,2017-12-19,504.53870380875014
1533,Dec 18 2017,16151.780354781908,2017-12-18,260.3275726219763
1532,Dec 17 2017,19121.11697222044,2017-12-17,2969.336617438532
1531,Dec 16 2017,18576.519705193437,2017-12-16,-544.5972670270021
1530,Dec 15 2017,15041.475277151349,2017-12-15,-3535.044428042089
1529,Dec 14 2017,14909.828082800203,2017-12-14,-131.64719435114603
1528,Dec 13 2017,14934.729919761474,2017-12-13,24.90183696127133
1527,Dec 12 2017,15738.168639453585,2017-12-12,803.4387196921107
1526,Dec 11 2017,16053.31443864352,2017-12-11,315.14579918993513
1525,Dec 10 2017,19950.6837740864,2017-12-10,3897.3693354428797
1524,Dec 09 2017,19660.095146699055,2017-12-09,-290.5886273873439
1523,Dec 08 2017,15420.457007125753,2017-12-08,-4239.638139573302
1522,Dec 07 2017,15059.601735071885,2017-12-07,-360.85527205386825
1521,Dec 06 2017,16256.903247263514,2017-12-06,1197.3015121916287
1520,Dec 05 2017,16238.631075866579,2017-12-05,-18.272171396934937
1519,Dec 04 2017,18064.40283692552,2017-12-04,1825.7717610589425
1518,Dec 03 2017,22422.239572350267,2017-12-03,4357.836735424746
1517,Dec 02 2017,23325.15028467273,2017-12-02,902.910712322464
1516,Dec 01 2017,17107.054050556268,2017-12-01,-6218.096234116463
1515,Nov 30 2017,17249.675859019793,2017-11-30,142.62180846352567
1514,Nov 29 2017,17542.808751457014,2017-11-29,293.132892437221
1513,Nov 28 2017,19257.066587519763,2017-11-28,1714.2578360627485
1512,Nov 27 2017,22231.661077070516,2017-11-27,2974.5944895507528
