TIME PERIOD,PRODUCT,TOTAL DOLS (000),NETWORK TV DOLS (000),CABLE TV DOLS (000),SYNDICATION DOLS (000),SPOT TV DOLS (000),MAGAZINES DOLS (000),NATL NEWSP DOLS (000),NEWSPAPER DOLS (000),NETWORK RADIO DOLS (000),NAT SPOT RADIO DOLS (000),OUTDOOR DOLS (000)
"WEEK OF DEC 07, 2015 (B)",Home Depot Home Center : Vignette,6.9,0,1.4,0,5.5,0,0,0,0,0,0
"WEEK OF DEC 14, 2015 (B)",Home Depot Home Center : Home Center/Hardware Store,3082.1,730.7,1478.7,10.5,86.8,0,0,0,774.5,0.9,0
"WEEK OF DEC 14, 2015 (B)",Home Depot Home Center : Vignette,11,0,6,0,5,0,0,0,0,0,0
"WEEK OF DEC 21, 2015 (B)",Home Depot Home Center : Home Center/Hardware Store,3773.5,1877.2,863.8,10.5,4.9,0,0,241.7,774.5,0.9,0
"WEEK OF DEC 21, 2015 (B)",Home Depot Home Center : Lawn & Garden Products DR,6.1,0,0,0,0,0,0,6.1,0,0,0
"WEEK OF DEC 28, 2015 (B)",Home Depot Home Center : Home Center/Hardware Store,3664.9,995.4,1202.4,10.5,4.8,712.5,0,3.8,688.7,16.6,30.2
"WEEK OF DEC 28, 2015 (B)",Home Depot Home Center : Vignette,6.7,0,6.7,0,0,0,0,0,0,0,0
"WEEK OF JAN 04, 2016 (B)",Home Depot Home Center & Kidde : Combo Vignette,9,0,0,0,9,0,0,0,0,0,0
"WEEK OF JAN 04, 2016 (B)",Home Depot Home Center : Home Center/Hardware Store,2749.3,1019.8,1107,10.5,0.2,0,0,0,574.3,37.5,0
"WEEK OF JAN 04, 2016 (B)",Home Depot Home Center : Vignette,5.4,0,5.4,0,0,0,0,0,0,0,0
"WEEK OF JAN 11, 2016 (B)",Home Depot Home Center & Kidde : Combo Vignette,10.2,0,0,0,10.2,0,0,0,0,0,0
"WEEK OF JAN 11, 2016 (B)",Home Depot Home Center : Home Center/Hardware Store,2461,0,1601.7,10.5,5.6,0,0,231.4,574.3,37.5,0
"WEEK OF JAN 11, 2016 (B)",Home Depot Home Center : Vignette,1.6,0,1.6,0,0,0,0,0,0,0,0
"WEEK OF JAN 18, 2016 (B)",Home Depot Home Center & Kidde : Combo Vignette,13,0,0,0,13,0,0,0,0,0,0
"WEEK OF JAN 18, 2016 (B)",Home Depot Home Center : Home Center/Hardware Store,1457.4,0,813.9,10.5,21.3,0,0,0,574.3,37.5,0
"WEEK OF JAN 18, 2016 (B)",Home Depot Home Center : Vignette,3.7,0,3.7,0,0,0,0,0,0,0,0
"WEEK OF JAN 25, 2016 (B)",Home Depot Home Center & Kidde : Combo Vignette,6.6,0,0,0,6.6,0,0,0,0,0,0
"WEEK OF JAN 25, 2016 (B)",Home Depot Home Center : Home Center/Hardware Store,1097.5,0,448.3,10.5,27,0,0,0,574.3,37.5,0
"WEEK OF JAN 25, 2016 (B)",Home Depot Home Center : Vignette,4.3,0,4.3,0,0,0,0,0,0,0,0
"WEEK OF FEB 01, 2016 (B)",Home Depot Home Center & Kidde : Combo Vignette,6.5,0,0,0,6.5,0,0,0,0,0,0
"WEEK OF FEB 01, 2016 (B)",Home Depot Home Center : Home Center/Hardware Store,1890.8,0,872,10.5,0,412.8,0,55.4,417.8,85.1,37.3
"WEEK OF FEB 08, 2016 (B)",Home Depot : Mobile App,7.2,0,7.2,0,0,0,0,0,0,0,0
"WEEK OF FEB 08, 2016 (B)",Home Depot Home Center & Kidde : Combo Vignette,5.2,0,0,0,5.2,0,0,0,0,0,0
"WEEK OF FEB 08, 2016 (B)",Home Depot Home Center : Home Center/Hardware Store,1839.8,0,1088.7,10.5,23,0,0,214.8,417.8,85.1,0
"WEEK OF FEB 08, 2016 (B)",Home Depot Home Center : Lawn & Garden Products DR,6.1,0,0,0,0,0,0,6.1,0,0,0
"WEEK OF FEB 08, 2016 (B)",Home Depot Home Center : Vignette,13.1,0,13.1,0,0,0,0,0,0,0,0
"WEEK OF FEB 15, 2016 (B)",Home Depot : Mobile App,61.2,0,61.2,0,0,0,0,0,0,0,0
"WEEK OF FEB 15, 2016 (B)",Home Depot Home Center & Kidde : Combo Vignette,2.9,0,0,0,2.9,0,0,0,0,0,0
"WEEK OF FEB 15, 2016 (B)",Home Depot Home Center : Home Center/Hardware Store,1192.2,0,658.2,10.5,20.6,0,0,0,417.8,85.1,0
"WEEK OF FEB 15, 2016 (B)",Home Depot Home Center : Vignette,4.4,0,4.4,0,0,0,0,0,0,0,0
"WEEK OF FEB 22, 2016 (B)",Home Depot Home Center & Kidde : Combo Vignette,4.6,0,0,0,4.6,0,0,0,0,0,0
"WEEK OF FEB 22, 2016 (B)",Home Depot Home Center : Home Center/Hardware Store,514.2,0,0.8,10.5,0,0,0,0,417.8,85.1,0
"WEEK OF FEB 22, 2016 (B)",Home Show/Home Depot : Sponsored Event,1.3,0,0,0,0,0,0,1.3,0,0,0
"WEEK OF FEB 29, 2016 (B)",Home Depot Home Center & Kidde : Combo Vignette,2,0,0,0,2,0,0,0,0,0,0
"WEEK OF FEB 29, 2016 (B)",Home Depot Home Center : Home Center/Hardware Store,1642.9,0,380,12.6,16.2,520.1,0,0,402.7,277.9,33.4
"WEEK OF FEB 29, 2016 (B)",Home Depot Home Center : Vignette,2.3,0,2.3,0,0,0,0,0,0,0,0
"WEEK OF MAR 07, 2016 (B)",Home Depot Home Center & Kidde : Combo Vignette,0.8,0,0,0,0.8,0,0,0,0,0,0
"WEEK OF MAR 07, 2016 (B)",Home Depot Home Center : Home Center/Hardware Store,1415.6,0,389.6,8.4,296.4,0,0,11.1,400.2,310,0
"WEEK OF MAR 07, 2016 (B)",Home Depot Home Center : Vignette,4.4,0,4.4,0,0,0,0,0,0,0,0
"WEEK OF MAR 14, 2016 (B)",Home Depot Home Center : Home Center/Hardware Store,1635.9,0,552.7,12.6,308,0,0,52.4,400.2,310,0
"WEEK OF MAR 14, 2016 (B)",Home Depot Home Center : Recruitment,0.3,0,0,0,0,0,0,0.3,0,0,0
"WEEK OF MAR 14, 2016 (B)",Home Depot Home Center : Vignette,3.5,0,3.5,0,0,0,0,0,0,0,0
"WEEK OF MAR 14, 2016 (B)",Home Depot Inc : Recruitment,3.8,0,0,0,0,0,0,3.8,0,0,0
"WEEK OF MAR 21, 2016 (B)",Home Depot Home Center : Home Center/Hardware Store,1008.6,0,0.3,12.6,285.6,0,0,0,400.2,310,0
"WEEK OF MAR 28, 2016 (B)",Home Depot Home Center & Kidde : Combo Vignette,0,0,0,0,0,0,0,0,0,0,0
"WEEK OF MAR 28, 2016 (B)",Home Depot Home Center : Home Center/Hardware Store,3518.8,522.4,1582,20.8,40,55.6,0,10.9,859.8,402.3,24.9
"WEEK OF MAR 28, 2016 (B)",Home Depot Home Center : Vignette,7.2,0,7.2,0,0,0,0,0,0,0,0
"WEEK OF APR 04, 2016 (B)",Home Depot Home Center : Home Center/Hardware Store,5995.2,2238.4,1346.9,20.8,86.6,0,0,304.4,1472.7,525.4,0
"WEEK OF APR 04, 2016 (B)",Home Depot Home Center : Vignette,5.7,0,5.7,0,0,0,0,0,0,0,0
"WEEK OF APR 11, 2016 (B)",Home Depot Home Center : Home Center/Hardware Store,7042.9,2882,1989,20.8,138.9,0,0,14,1472.7,525.4,0
"WEEK OF APR 11, 2016 (B)",Home Depot Home Center : Vignette,14.2,0,14.2,0,0,0,0,0,0,0,0
"WEEK OF APR 18, 2016 (B)",Home Depot Home Center : Home Center/Hardware Store,4458.7,0,1838.4,20.8,109.7,0,0,491.7,1472.7,525.4,0
"WEEK OF APR 18, 2016 (B)",Home Depot Home Center : Vignette,11.5,0,11.5,0,0,0,0,0,0,0,0
"WEEK OF APR 25, 2016 (B)",Home Depot Home Center : Home Center/Hardware Store,6586.7,0,2597.1,21.4,166.4,1722.1,0,82,1492.4,502.6,2.7
"WEEK OF APR 25, 2016 (B)",Home Depot Home Center : Vignette,9.8,0,9.8,0,0,0,0,0,0,0,0
"WEEK OF MAY 02, 2016 (B)",Home Depot Home Center : Home Center/Hardware Store,3948.5,0,1432.8,21.3,154.1,0,0,364.5,1610.3,365.6,0
"WEEK OF MAY 02, 2016 (B)",Home Depot Home Center : Vignette,4.1,0,4.1,0,0,0,0,0,0,0,0
"WEEK OF MAY 09, 2016 (B)",Home Depot Home Center : Home Center/Hardware Store,3397.6,0,1272.6,21.3,127.8,0,0,0,1610.3,365.6,0
"WEEK OF MAY 09, 2016 (B)",Home Depot Home Center : Vignette,7.6,0,7.6,0,0,0,0,0,0,0,0
"WEEK OF MAY 09, 2016 (B)",Home Depot Inc : Legal Messages,115.1,0,0,0,0,115.1,0,0,0,0,0
"WEEK OF MAY 16, 2016 (B)",Home Depot Home Center : Home & Building Products DR,0.8,0,0.8,0,0,0,0,0,0,0,0
"WEEK OF MAY 16, 2016 (B)",Home Depot Home Center : Home Center/Hardware Store,7875.5,1563.3,3846.2,21.3,171.1,0,0,297.7,1610.3,365.6,0
"WEEK OF MAY 16, 2016 (B)",Home Depot Home Center : Vignette,24.4,0,24.4,0,0,0,0,0,0,0,0
"WEEK OF MAY 23, 2016 (B)",Home Depot Home Center : Home Center/Hardware Store,6594.8,1287.8,2941.9,21.3,57.9,0,0,310.1,1610.3,365.6,0
"WEEK OF MAY 23, 2016 (B)",Home Depot Home Center : Vignette,18.1,0,18.1,0,0,0,0,0,0,0,0
"WEEK OF MAY 30, 2016 (B)",Home Depot Home Center : Home Center/Hardware Store,6634.8,0,2167.5,21.5,134.9,2627.1,0,0,1576.3,105.1,2.4
"WEEK OF MAY 30, 2016 (B)",Home Depot Home Center : Vignette,18.7,0,18.7,0,0,0,0,0,0,0,0
"WEEK OF JUN 06, 2016 (B)",Home Depot Home Center : Home Center/Hardware Store,4228.8,780.7,1270.5,21.5,136.9,0,0,455.5,1562.7,0.9,0
"WEEK OF JUN 06, 2016 (B)",Home Depot Home Center : Vignette,9.1,0,9.1,0,0,0,0,0,0,0,0
"WEEK OF JUN 13, 2016 (B)",Home Depot Home Center : Home Center/Hardware Store,4210.9,789.3,1669.4,21.5,164.4,0,0,2.7,1562.7,0.9,0
"WEEK OF JUN 13, 2016 (B)",Home Depot Home Center : Vignette,10.1,0,10.1,0,0,0,0,0,0,0,0
"WEEK OF JUN 20, 2016 (B)",Home Depot Home Center : Home Center/Hardware Store,6132.8,1804.3,2430,21.5,144,0,0,169.4,1562.7,0.9,0
"WEEK OF JUN 20, 2016 (B)",Home Depot Home Center : Vignette,10.3,0,10.3,0,0,0,0,0,0,0,0
"WEEK OF JUN 27, 2016 (B)",Home Depot Home Center : Home Center/Hardware Store,9107.5,1867.2,2899.4,21.1,104.8,2232,0,465.1,1481.3,34.1,2.4
"WEEK OF JUN 27, 2016 (B)",Home Depot Home Center : Vignette,19.5,0,19.5,0,0,0,0,0,0,0,0
"WEEK OF JUL 04, 2016 (B)",Home Depot Home Center : Home Center/Hardware Store,4397.1,352.9,2373.7,21.1,198.3,0,0,0,1372.8,78.3,0
"WEEK OF JUL 04, 2016 (B)",Home Depot Home Center : Vignette,27.1,0,27.1,0,0,0,0,0,0,0,0
"WEEK OF JUL 11, 2016 (B)",Home Depot Home Center : Home & Building Products DR,133.6,0,133.6,0,0,0,0,0,0,0,0
"WEEK OF JUL 11, 2016 (B)",Home Depot Home Center : Home Center/Hardware Store,3372.1,0,1793.1,21.1,106.8,0,0,0,1372.8,78.3,0
"WEEK OF JUL 11, 2016 (B)",Home Depot Home Center : Vignette,11.4,0,11.4,0,0,0,0,0,0,0,0
"WEEK OF JUL 18, 2016 (B)",Home Depot Home Center : Home & Building Products DR,138,0,138,0,0,0,0,0,0,0,0
"WEEK OF JUL 18, 2016 (B)",Home Depot Home Center : Home Center/Hardware Store,2600.3,0,1030.6,21.1,94.8,0,0,2.7,1372.8,78.3,0
"WEEK OF JUL 18, 2016 (B)",Home Depot Home Center : Vignette,4.2,0,4.2,0,0,0,0,0,0,0,0
"WEEK OF JUL 25, 2016 (B)",Home Depot Home Center : Home Center/Hardware Store,3237,0,1665.5,21.1,99.2,0,0,0,1372.8,78.3,0
"WEEK OF JUL 25, 2016 (B)",Home Depot Home Center : Vignette,16.6,0,16.6,0,0,0,0,0,0,0,0
"WEEK OF AUG 01, 2016 (B)",Home Depot Home Center & Kidde : Combo Vignette,0,0,0,0,0,0,0,0,0,0,0
"WEEK OF AUG 01, 2016 (B)",Home Depot Home Center : Home Center/Hardware Store,3994.3,0,1659.2,20.7,0.6,1703.6,0,0,603.7,0.9,5.6
"WEEK OF AUG 01, 2016 (B)",Home Depot Home Center : Vignette,17.8,0,17.8,0,0,0,0,0,0,0,0
"WEEK OF AUG 08, 2016 (B)",Home Depot Home Center : Home Center/Hardware Store,663.7,0,32.4,20.7,6,0,0,0,603.7,0.9,0
"WEEK OF AUG 15, 2016 (B)",Home & Garden Show/Home Depot : Sponsored Event,19,0,0,0,19,0,0,0,0,0,0
"WEEK OF AUG 15, 2016 (B)",Home Depot Home Center : Home Center/Hardware Store,661.8,0,31.5,20.7,4.9,0,0,0,603.7,0.9,0
"WEEK OF AUG 22, 2016 (B)",Home Depot Home Center : Home & Building Products DR,7.7,0,7.7,0,0,0,0,0,0,0,0
"WEEK OF AUG 22, 2016 (B)",Home Depot Home Center : Home Center/Hardware Store,2487.9,66,1746.7,20.7,49.9,0,0,0,603.7,0.9,0
"WEEK OF AUG 22, 2016 (B)",Home Depot Home Center : Vignette,17.1,0,17.1,0,0,0,0,0,0,0,0
"WEEK OF AUG 29, 2016 (B)",Home Depot Home Center : Home Center/Hardware Store,4857.4,536.4,1881.8,22.7,42.6,1300.9,0,383.9,677.6,1.5,10
"WEEK OF AUG 29, 2016 (B)",Home Depot Home Center : Vignette,24.6,0,24.6,0,0,0,0,0,0,0,0
"WEEK OF SEP 05, 2016 (B)",Home Depot Home Center & Kidde : Combo Vignette,0,0,0,0,0,0,0,0,0,0,0
"WEEK OF SEP 05, 2016 (B)",Home Depot Home Center : Home Center/Hardware Store,3424.4,1689.9,965.9,22.7,11,0,0,0,733,1.9,0
"WEEK OF SEP 05, 2016 (B)",Home Depot Home Center : Vignette,6.5,0,6.5,0,0,0,0,0,0,0,0
"WEEK OF SEP 12, 2016 (B)",Home Depot Home Center & Kidde : Combo Vignette,1.6,0,0,0,1.6,0,0,0,0,0,0
"WEEK OF SEP 12, 2016 (B)",Home Depot Home Center : Home Center/Hardware Store,3964.9,2465.5,738.5,22.7,3.3,0,0,0,733,1.9,0
"WEEK OF SEP 19, 2016 (B)",Home Depot Home Center & Kidde : Combo Vignette,2.5,0,0,0,2.5,0,0,0,0,0,0
"WEEK OF SEP 19, 2016 (B)",Home Depot Home Center : Home Center/Hardware Store,3797.6,1722.9,1308.3,22.7,2,0,0,6.8,733,1.9,0
"WEEK OF SEP 19, 2016 (B)",Home Depot Inc : Recruitment,0.4,0,0,0,0,0,0,0.4,0,0,0
"WEEK OF SEP 26, 2016 (B)",Home Depot Home Center & Kidde : Combo Vignette,2.7,0,0,0,2.7,0,0,0,0,0,0
"WEEK OF SEP 26, 2016 (B)",Home Depot Home Center : Home Center/Hardware Store,7431.7,2024.3,1939.1,15.2,24.1,2601.8,0,11.4,805.9,2.9,7
"WEEK OF SEP 26, 2016 (B)",Home Depot Home Center : Recruitment,0.4,0,0,0,0,0,0,0.4,0,0,0
"WEEK OF SEP 26, 2016 (B)",Home Depot Home Center : Vignette,1.1,0,1.1,0,0,0,0,0,0,0,0
"WEEK OF OCT 03, 2016 (B)",Home Depot Home Center : Home Center/Hardware Store,4841.5,2336,1326.3,15.2,29.3,0,0,141.3,988.1,5.3,0
"WEEK OF OCT 03, 2016 (B)",Home Depot Home Center : Vignette,1.2,0,1.2,0,0,0,0,0,0,0,0
"WEEK OF OCT 10, 2016 (B)",Home Depot Home Center : Home Center/Hardware Store,3571.3,1608.1,928,15.2,26.7,0,0,0,988.1,5.3,0
"WEEK OF OCT 17, 2016 (B)",Home Depot Home Center : Home Center/Hardware Store,3741.8,1903.5,811.4,15.2,18.4,0,0,0,988.1,5.3,0
"WEEK OF OCT 17, 2016 (B)",Home Depot Home Center : Vignette,2.4,0,2.4,0,0,0,0,0,0,0,0
"WEEK OF OCT 24, 2016 (B)",Home Depot Home Center : Home Center/Hardware Store,3331,1519.9,800.6,15.2,2,0,0,0,988.1,5.3,0
"WEEK OF OCT 24, 2016 (B)",Home Depot Home Center : Vignette,0.3,0,0.3,0,0,0,0,0,0,0,0
"WEEK OF OCT 31, 2016 (B)",Home Depot Home Center & Kidde : Combo Vignette,2.4,0,0,0,2.4,0,0,0,0,0,0
"WEEK OF OCT 31, 2016 (B)",Home Depot Home Center : Home & Building Products DR,59,0,59,0,0,0,0,0,0,0,0
"WEEK OF OCT 31, 2016 (B)",Home Depot Home Center : Home Center/Hardware Store,7813.7,2654.6,2761.2,15.1,63,882.5,0,157.1,1259.2,2.3,18.8
"WEEK OF OCT 31, 2016 (B)",Home Depot Inc : Recruitment,2.1,0,0,0,0,0,0,2.1,0,0,0
"WEEK OF NOV 07, 2016 (B)",Home Depot Home Center & Kidde : Combo Vignette,3.9,0,0,0,3.9,0,0,0,0,0,0
"WEEK OF NOV 07, 2016 (B)",Home Depot Home Center : Home & Building Products DR,61.2,0,61.2,0,0,0,0,0,0,0,0
"WEEK OF NOV 07, 2016 (B)",Home Depot Home Center : Home Center/Hardware Store,6667,1831.3,3312.1,15.1,56.7,0,0,145.7,1304.3,1.8,0
"WEEK OF NOV 07, 2016 (B)",Home Depot Home Center : Vignette,13,0,11.1,0,1.9,0,0,0,0,0,0
"WEEK OF NOV 14, 2016 (B)",Home Depot Home Center & Kidde : Combo Vignette,2.6,0,0,0,2.6,0,0,0,0,0,0
"WEEK OF NOV 14, 2016 (B)",Home Depot Home Center : Home Center/Hardware Store,7266.2,3103.8,2633.4,15.1,52.6,0,0,155.3,1304.3,1.8,0
"WEEK OF NOV 14, 2016 (B)",Home Depot Home Center : Vignette,7.5,0,7.5,0,0,0,0,0,0,0,0
"WEEK OF NOV 21, 2016 (B)",Home Depot Home Center & Kidde : Combo Vignette,2.2,0,0,0,2.2,0,0,0,0,0,0
"WEEK OF NOV 21, 2016 (B)",Home Depot Home Center : Home & Building Products DR,11.8,0,11.8,0,0,0,0,0,0,0,0
"WEEK OF NOV 21, 2016 (B)",Home Depot Home Center : Home Center/Hardware Store,7106.6,3874,1299,15.1,42.1,0,0,570.4,1304.3,1.8,0
"WEEK OF NOV 21, 2016 (B)",Home Depot Home Center : Lawn & Garden Products DR,3.6,0,0,0,0,0,0,3.6,0,0,0
"WEEK OF NOV 28, 2016 (B)",Home Depot Home Center : Home Center/Hardware Store,4761.5,2315.8,1184.2,15.2,30.3,422.1,0,0,782.7,2.8,8.4
"WEEK OF NOV 28, 2016 (B)",Home Depot Home Center : Vignette,9.9,0,2.7,0,7.2,0,0,0,0,0,0
"WEEK OF DEC 05, 2016 (B)",Home Depot Home Center : Home & Building Products DR,70.9,0,70.9,0,0,0,0,0,0,0,0
"WEEK OF DEC 05, 2016 (B)",Home Depot Home Center : Home Center/Hardware Store,2145.4,838.8,857.8,9.8,44.1,0,0,0,391.4,3.6,0
"WEEK OF DEC 05, 2016 (B)",Home Depot Home Center : Online,0,0,0,0,0,0,0,0,0,0,0
"WEEK OF DEC 05, 2016 (B)",Home Depot Home Center : Vignette,158.6,151.7,0.2,0,6.7,0,0,0,0,0,0
"WEEK OF DEC 12, 2016 (B)",Home Depot Home Center : Home Center/Hardware Store,2122.8,654.4,1031.8,15.2,26.4,0,0,0,391.4,3.6,0
"WEEK OF DEC 19, 2016 (B)",Home Depot Home Center & Kidde : Combo Vignette,0.2,0,0,0,0.2,0,0,0,0,0,0
"WEEK OF DEC 19, 2016 (B)",Home Depot Home Center : Home Center/Hardware Store,2031.4,1130.2,267.1,15.2,4.9,0,0,219,391.4,3.6,0
"WEEK OF DEC 19, 2016 (B)",Home Depot Home Center : Vignette,0.3,0,0,0,0.3,0,0,0,0,0,0
"WEEK OF DEC 26, 2016 (B)",Home Depot Home Center & Kidde : Combo Vignette,0.6,0,0,0,0.6,0,0,0,0,0,0
"WEEK OF DEC 26, 2016 (B)",Home Depot Home Center : Home Center/Hardware Store,4092.1,1345.8,1179,20.6,4.7,1060.9,0,0,474.7,3.2,3.2
"WEEK OF DEC 26, 2016 (B)",Home Depot Home Center : Vignette,6.9,0,6.9,0,0,0,0,0,0,0,0
"WEEK OF JAN 02, 2017 (B)",Home Depot Home Center & Kidde : Combo Vignette,5.6,0,0,0,5.6,0,0,0,0,0,0
"WEEK OF JAN 02, 2017 (B)",Home Depot Home Center : Home Center/Hardware Store,3168.8,1093.4,1088,11.8,0.3,0,0,0,974.2,1.1,0
"WEEK OF JAN 02, 2017 (B)",Home Depot Home Center : Vignette,1.3,0,1.3,0,0,0,0,0,0,0,0
"WEEK OF JAN 09, 2017 (B)",Home Depot Home Center & Kidde : Combo Vignette,3.4,0,0,0,3.4,0,0,0,0,0,0
"WEEK OF JAN 09, 2017 (B)",Home Depot Home Center : Home Center/Hardware Store,4046.9,226.8,2597.3,16.2,19,0,0,212.2,974.2,1.1,0
"WEEK OF JAN 09, 2017 (B)",Home Depot Home Center : Vignette,6.7,0,6.7,0,0,0,0,0,0,0,0
"WEEK OF JAN 16, 2017 (B)",Home Depot Home Center & Kidde : Combo Vignette,4.9,0,0,0,4.9,0,0,0,0,0,0
"WEEK OF JAN 16, 2017 (B)",Home Depot Home Center : Home Center/Hardware Store,1687,0,654.6,16.2,40.8,0,0,0,974.2,1.1,0
"WEEK OF JAN 16, 2017 (B)",Home Depot Home Center : Vignette,5.2,0,5.2,0,0,0,0,0,0,0,0
"WEEK OF JAN 23, 2017 (B)",Home Depot Home Center & Kidde : Combo Vignette,2.4,0,0,0,2.4,0,0,0,0,0,0
"WEEK OF JAN 23, 2017 (B)",Home Depot Home Center : Home Center/Hardware Store,1633.9,0,614.1,16.2,28.2,0,0,0,974.2,1.1,0
"WEEK OF JAN 30, 2017 (B)",Home Depot Home Center & Kidde : Combo Vignette,2.2,0,0,0,2.2,0,0,0,0,0,0
"WEEK OF JAN 30, 2017 (B)",Home Depot Home Center : Home Center/Hardware Store,1671.8,0,625.9,14.9,218.4,0,0,0,647.5,160.8,4.3
"WEEK OF JAN 30, 2017 (B)",Home Depot Home Center : Vignette,5.5,0,5.5,0,0,0,0,0,0,0,0
"WEEK OF JAN 30, 2017 (B)",Home Depot Inc : Corporate Promotion,19.2,0,0,0,0,0,0,19.2,0,0,0
"WEEK OF FEB 06, 2017 (B)",Home Depot Home Center & Kidde : Combo Vignette,2.8,0,0,0,2.8,0,0,0,0,0,0
"WEEK OF FEB 06, 2017 (B)",Home Depot Home Center : Home Center/Hardware Store,1484.5,0,574.5,14.9,11.3,0,0,142.4,516.9,224.6,0
"WEEK OF FEB 06, 2017 (B)",Home Depot Home Center : Vignette,4.5,0,4.5,0,0,0,0,0,0,0,0
"WEEK OF FEB 13, 2017 (B)",Home Depot Home Center & Kidde : Combo Vignette,1.4,0,0,0,1.4,0,0,0,0,0,0
"WEEK OF FEB 13, 2017 (B)",Home Depot Home Center : Home Center/Hardware Store,1275.6,0,368.6,14.9,150.7,0,0,0,516.9,224.6,0
"WEEK OF FEB 13, 2017 (B)",Home Depot Home Center : Online,0.1,0,0,0,0.1,0,0,0,0,0,0
"WEEK OF FEB 20, 2017 (B)",Home Depot Home Center & Kidde : Combo Vignette,0.4,0,0,0,0.4,0,0,0,0,0,0
"WEEK OF FEB 20, 2017 (B)",Home Depot Home Center : Home Center/Hardware Store,1266.3,0,330.2,14.9,179.7,0,0,0,516.9,224.6,0
"WEEK OF FEB 20, 2017 (B)",Home Depot Home Center : Vignette,2.3,0,2.3,0,0,0,0,0,0,0,0
"WEEK OF FEB 27, 2017 (B)",Home Depot Home Center & Kidde : Combo Vignette,1.8,0,0,0,1.8,0,0,0,0,0,0
"WEEK OF FEB 27, 2017 (B)",Home Depot Home Center : Home Center/Hardware Store,2117.8,0,101.2,14.7,236.4,763.1,0,25.8,416.5,555.8,4.3
"WEEK OF FEB 27, 2017 (B)",Home Depot Inc : Corporate Promotion,370.2,0,0,0,0,370.2,0,0,0,0,0
"WEEK OF MAR 06, 2017 (B)",Home Depot Home Center & Kidde : Combo Vignette,0.7,0,0,0,0.7,0,0,0,0,0,0
"WEEK OF MAR 06, 2017 (B)",Home Depot Home Center : Home Center/Hardware Store,1441.6,0,146,14.7,216.2,0,0,0,376.4,688.3,0
"WEEK OF MAR 13, 2017 (B)",Home Depot Home Center & Kidde : Combo Vignette,2.7,0,0,0,2.7,0,0,0,0,0,0
"WEEK OF MAR 13, 2017 (B)",Home Depot Home Center : Home Center/Hardware Store,1439.5,0,50.4,14.7,281.7,0,0,28,376.4,688.3,0
"WEEK OF MAR 20, 2017 (B)",Home Depot Home Center & Kidde : Combo Vignette,2.2,0,0,0,2.2,0,0,0,0,0,0
"WEEK OF MAR 20, 2017 (B)",Home Depot Home Center : Home Center/Hardware Store,2082.4,0,732,14.7,271,0,0,0,376.4,688.3,0
"WEEK OF MAR 20, 2017 (B)",Home Depot Home Center : Vignette,3.4,0,3.4,0,0,0,0,0,0,0,0
"WEEK OF MAR 27, 2017 (B)",Home Depot & Sacramento Municipal Utility District : Combo,0.2,0,0,0,0,0,0,0.2,0,0,0
"WEEK OF MAR 27, 2017 (B)",Home Depot Home Center & Kidde : Combo Vignette,2.2,0,0,0,2.2,0,0,0,0,0,0
"WEEK OF MAR 27, 2017 (B)",Home Depot Home Center : Home Center/Hardware Store,5388.3,1146.2,2144.1,14.6,67.8,445.5,0,260,700.8,512,97.3
"WEEK OF MAR 27, 2017 (B)",Home Depot Home Center : Vignette,5.9,0,5.9,0,0,0,0,0,0,0,0
"WEEK OF MAR 27, 2017 (B)",Home Depot Inc : Recruitment,5.2,0,0,0,0,0,0,5.2,0,0,0
"WEEK OF APR 03, 2017 (B)",Home Depot Home Center & Kidde : Combo Vignette,1.8,0,0,0,1.8,0,0,0,0,0,0
"WEEK OF APR 03, 2017 (B)",Home Depot Home Center : Home Center/Hardware Store,5617,1820.3,2175.1,14.6,24.1,0,0,0,1511.7,71.3,0
"WEEK OF APR 03, 2017 (B)",Home Depot Home Center : Vignette,4.6,0,4.6,0,0,0,0,0,0,0,0
"WEEK OF APR 10, 2017 (B)",Home Depot Home Center : Home Center/Hardware Store,4009.4,1470.3,926.6,14.6,14.7,0,0,0.3,1511.7,71.3,0
"WEEK OF APR 10, 2017 (B)",Home Depot Home Center : Vignette,2.1,0,2.1,0,0,0,0,0,0,0,0
"WEEK OF APR 17, 2017 (B)",Home Depot Home Center : Home Center/Hardware Store,4474.6,238.9,2376.5,14.6,17.7,0,0,244,1511.7,71.3,0
"WEEK OF APR 17, 2017 (B)",Home Depot Home Center : Vignette,11.1,0,11.1,0,0,0,0,0,0,0,0
"WEEK OF APR 24, 2017 (B)",Home Depot Home Center : Home & Building Products DR,1.2,0,1.2,0,0,0,0,0,0,0,0
"WEEK OF APR 24, 2017 (B)",Home Depot Home Center : Home Center/Hardware Store,4086.4,0,2469.9,14.6,13.6,0,0,5.4,1511.7,71.3,0
"WEEK OF APR 24, 2017 (B)",Home Depot Home Center : Vignette,6.6,0,6.6,0,0,0,0,0,0,0,0
"WEEK OF MAY 01, 2017 (B)",Home Depot Home Center : Home Center/Hardware Store,3456.6,0,595,14.5,4.2,984.1,0,163.3,1619.5,73,3.2
"WEEK OF MAY 01, 2017 (B)",Home Depot Home Center : Lawn & Garden Products DR,4.7,0,0,0,0,0,0,4.7,0,0,0
"WEEK OF MAY 01, 2017 (B)",Home Depot Home Center : Vignette,5.1,0,5.1,0,0,0,0,0,0,0,0
